P1,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4,label
1030.0,0.476699,0.004854,0.143689,0.09462,0.886408,0.0,0.741602,0.005168,0.03876,0.062954,0.002584,0.945736,0.285714,0.126126,0.6,0
4704.0,0.449405,0.007866,0.17517,0.134749,0.532526,0.027424,0.490878,0.003991,0.236032,0.028255,0.006271,0.994869,0.324654,0.169767,0.352941,1
2679.0,0.488242,0.00112,0.165734,0.117433,0.833893,0.0,0.626143,0.0,0.029251,0.022341,0.000914,0.99543,0.34227,0.021563,0.0,1
1120.0,0.475,0.000893,0.116071,0.054422,0.955357,0.0,0.884021,0.0,0.012887,0.010204,0.0,0.994845,0.017857,0.125,0.0,1
19.0,0.31579,0.0,0.263158,0.230769,1.0,0.0,1.0,0.0,0.0,0.730769,0.0,1.0,0.538462,0.0,1.0,0
83995.0,0.491375,0.261361,0.080469,0.070971,0.924055,0.004274,0.815818,0.004326,0.042423,0.025899,0.270875,0.784148,0.376253,0.283743,0.3,1
74625.0,0.491551,0.009943,0.047518,0.039797,0.85667,0.00402,0.710975,0.005426,0.069894,0.068301,0.010206,0.906928,0.300489,0.067893,0.510601,1
4041.0,0.460777,0.0,0.673348,0.193208,0.827765,0.019797,0.731978,0.0,0.016636,0.32375,0.0,0.993993,0.367188,0.06422,0.141414,1
2178.0,0.473829,0.028007,0.221304,0.177138,0.822314,0.028926,0.667429,0.008,0.021714,0.116162,0.026286,0.950857,0.267677,0.096447,0.689655,0
1458.0,0.528121,0.013032,0.074074,0.046512,0.910837,0.0,0.812236,0.008439,0.061181,0.057654,0.016878,0.820675,0.296223,0.133333,0.4,1
1510.0,0.45298,0.002649,0.262252,0.197337,0.780133,0.041722,0.61876,0.001513,0.022693,0.065064,0.004539,0.998487,0.237624,0.041667,0.6,0
8348.0,0.467777,0.000839,0.166148,0.134369,0.817681,0.020364,0.65248,0.003522,0.03845,0.041901,0.001174,0.9774,0.291057,0.064206,0.4375,0
2658.0,0.497743,0.002257,0.146351,0.101124,0.889014,0.009406,0.72137,0.001181,0.034239,0.150451,0.005903,0.972845,0.593781,0.148026,0.666667,1
1692.0,0.486998,0.015957,0.066194,0.047235,0.937352,0.0,0.843284,0.005597,0.029851,0.059649,0.014925,0.979478,0.147368,0.101695,0.625,1
242.0,0.491736,0.429752,0.115703,0.154472,0.859504,0.0,0.722222,0.022222,0.033333,0.158879,0.388889,0.977778,0.271028,0.136364,0.0,0
3603.0,0.511241,0.001665,0.087705,0.051675,0.945878,0.0,0.849177,0.001828,0.021938,0.045375,0.002742,0.986289,0.183246,0.184874,0.352941,1
675.0,0.524444,0.06963,0.103704,0.056075,0.924444,0.0,0.833333,0.004386,0.035088,0.176895,0.06579,0.894737,0.310469,0.121212,0.833333,0
874.0,0.455378,0.0,0.324943,0.220588,0.784897,0.064073,0.649596,0.0,0.005391,0.083951,0.0,1.0,0.308642,0.060241,1.0,0
1364.0,0.499267,0.003666,0.107038,0.083455,0.95088,0.0,0.842932,0.002618,0.013089,0.154867,0.013089,0.068063,0.320797,0.266667,0.0,0
5671.0,0.467995,0.000529,0.195204,0.142526,0.822254,0.022571,0.663413,0.00382,0.026316,0.0673,0.000424,0.994058,0.308393,0.059702,0.521739,0
3661.0,0.492488,0.045616,0.139853,0.077503,0.845671,0.00956,0.7097,0.004781,0.063525,0.029178,0.038934,0.995219,0.261936,0.009412,0.222222,1
50553.0,0.495876,0.013728,0.053785,0.043908,0.873737,0.003561,0.75633,0.003841,0.075741,0.045051,0.013579,0.942166,0.248657,0.05478,0.132841,1
3884.0,0.414779,0.002832,0.494078,0.303564,0.685118,0.064882,0.529847,0.003698,0.034337,0.117894,0.00317,0.986265,0.687791,0.020314,0.357143,1
27099.0,0.508727,0.015277,0.063065,0.035755,0.901731,0.000443,0.796167,0.006353,0.065389,0.143447,0.016101,0.886966,0.271883,0.120337,0.136179,1
1633.0,0.50643,0.001225,0.033068,0.022333,0.927128,0.0,0.845857,0.009634,0.05395,0.020755,0.0,0.99422,0.169811,0.06383,0.666667,1
9431.0,0.492949,0.004772,0.119394,0.052698,0.928534,0.003075,0.83404,0.000909,0.024833,0.031672,0.005451,0.992126,0.093842,0.032468,0.435897,1
42786.0,0.482938,0.014,0.170406,0.123808,0.81342,0.00804,0.639466,0.002007,0.061532,0.068781,0.013304,0.97041,0.437627,0.064444,0.350319,1
2157.0,0.508113,0.013445,0.104312,0.083883,0.905424,0.0,0.789986,0.0,0.041725,0.047682,0.011127,0.69402,0.47947,0.110629,0.333333,1
1752.0,0.481164,0.008562,0.207192,0.072607,0.827626,0.017694,0.6875,0.001359,0.050272,0.387177,0.004076,0.997283,0.164863,0.021505,0.578947,1
1675.0,0.463284,0.095522,0.164776,0.162403,0.81791,0.034627,0.667149,0.002894,0.020261,0.078667,0.078148,0.997106,0.429333,0.06338,0.142857,0
35943.0,0.48652,0.009654,0.127146,0.100943,0.842779,0.004925,0.685058,0.002299,0.070968,0.043956,0.010975,0.980719,0.327898,0.057197,0.61062,1
2637.0,0.481987,0.015548,0.132347,0.081259,0.926432,0.0,0.825726,0.002075,0.018672,0.033099,0.01556,0.988589,0.058175,0.076923,0.166667,1
825.0,0.48,0.37697,0.130909,0.104895,0.92,0.0,0.769504,0.0,0.003546,0.093248,0.312057,0.992908,0.337621,0.175439,1.0,0
1942.0,0.495881,0.006179,0.15551,0.083759,0.908857,0.0,0.76513,0.001441,0.018732,0.151589,0.004323,0.674352,0.381418,0.161972,0.571429,0
8515.0,0.480094,0.00047,0.167352,0.115654,0.879507,0.0,0.733552,0.002977,0.029175,0.045196,0.000595,0.994344,0.288232,0.034646,0.393939,1
3187.0,0.44556,0.011296,0.211484,0.160159,0.834955,0.0,0.658101,0.002855,0.024268,0.035124,0.009993,0.99429,0.323003,0.03066,0.0,0
14293.0,0.417477,0.001399,0.836983,0.308311,0.775065,0.011894,0.643286,0.00012,0.008888,0.054723,0.001441,0.994235,0.15327,0.0,0.713615,1
538.0,0.479554,0.0,0.245353,0.171429,0.836431,0.001859,0.661225,0.004082,0.012245,0.313726,0.0,0.995918,0.411765,0.097561,0.333333,0
3960.0,0.469192,0.007323,0.242677,0.156042,0.867677,0.055303,0.806699,0.003489,0.014655,0.01782,0.006281,0.993022,0.06854,0.050633,0.875,1
102.0,0.568628,0.0,0.068628,0.068182,0.617647,0.0,0.465116,0.0,0.255814,0.022727,0.0,0.953488,0.022727,0.076923,0.0,1
1109.0,0.477006,0.0,0.183048,0.146552,0.846709,0.030658,0.716279,0.004651,0.025581,0.088983,0.0,0.993023,0.209746,0.133333,0.625,0
2534.0,0.492107,0.002762,0.143646,0.106449,0.739148,0.044594,0.566667,0.003704,0.07037,0.09396,0.002778,0.997222,0.428691,0.023061,0.5,1
35481.0,0.48984,0.100899,0.157662,0.131098,0.735549,0.089597,0.614814,0.004096,0.041237,0.082594,0.069552,0.993716,0.333679,0.040984,0.465909,0
250.0,0.46,0.0,0.14,0.118519,0.888,0.0,0.707865,0.011236,0.022472,0.10101,0.0,0.988764,0.191919,0.105263,0.8,0
45218.0,0.490822,0.134393,0.070193,0.070665,0.940201,0.014132,0.882038,0.003057,0.032612,0.020627,0.12535,0.714395,0.150794,0.338048,0.439394,1
1342.0,0.491058,0.00149,0.084948,0.070278,0.935917,0.0,0.841304,0.008696,0.019565,0.051546,0.002174,0.98913,0.319588,0.159575,0.8,0
3193.0,0.470404,0.005011,0.135296,0.122413,0.849984,0.014407,0.698851,0.002299,0.022989,0.080338,0.005364,0.994636,0.362227,0.040089,0.75,0
5807.0,0.485793,0.007922,0.089031,0.044876,0.941106,0.0,0.856999,0.003032,0.023749,0.022716,0.006064,0.990399,0.12642,0.060172,0.125,1
2615.0,0.469599,0.003824,0.147992,0.107426,0.886042,0.0,0.728484,0.004098,0.02459,0.160069,0.004098,0.51127,0.425129,0.123188,0.692308,0
4729.0,0.460985,0.018397,0.212941,0.145547,0.875026,0.0,0.715526,0.001022,0.0143,0.040666,0.016854,0.996425,0.192553,0.051195,0.615385,0
1682.0,0.479786,0.100476,0.117123,0.115429,0.885256,0.010107,0.756219,0.004975,0.041459,0.083587,0.101161,0.991708,0.173252,0.057692,0.6,1
152.0,0.532895,0.480263,0.19079,0.112676,0.881579,0.0,0.721312,0.0,0.016393,0.115942,0.42623,1.0,0.275362,0.222222,0.0,0
263.0,0.513308,0.0,0.022814,0.039063,0.977186,0.0,0.921053,0.0,0.0,0.025641,0.0,1.0,0.012821,0.125,0.0,1
712.0,0.438202,0.0,0.348315,0.2625,0.733146,0.080056,0.59736,0.006601,0.029703,0.070552,0.0,1.0,0.260736,0.065217,0.75,0
281140.0,0.489475,0.070236,0.091702,0.066405,0.821431,0.019051,0.672043,0.005015,0.060535,0.109127,0.066398,0.925204,0.373467,0.070099,0.556818,1
2079.0,0.492064,0.005291,0.075517,0.043561,0.928331,0.0,0.833788,0.002725,0.025886,0.020027,0.00545,0.997275,0.157543,0.064,0.333333,1
14869.0,0.470038,0.022799,0.141435,0.09467,0.876522,0.027776,0.771813,0.001257,0.02316,0.028601,0.01939,0.994075,0.100453,0.057554,0.40625,1
10638.0,0.484772,0.029141,0.130194,0.095603,0.824215,0.042771,0.718766,0.003342,0.064267,0.080596,0.02545,0.907198,0.273458,0.071905,0.189873,1
1145.0,0.436681,0.0,0.330131,0.266667,0.70393,0.163319,0.638404,0.002494,0.017456,0.090703,0.0,1.0,0.335601,0.079755,0.714286,0
384.0,0.476563,0.005208,0.304688,0.238806,0.752604,0.098958,0.660377,0.0,0.018868,0.201005,0.006289,1.0,0.281407,0.051282,1.0,0
2786.0,0.485643,0.006102,0.19275,0.094208,0.883704,0.010768,0.77214,0.0,0.0369,0.159038,0.001845,0.98893,0.252133,0.040404,0.807692,1
1042.0,0.486564,0.014395,0.192898,0.11028,0.862764,0.0,0.713287,0.002331,0.041958,0.122699,0.006993,0.988345,0.241309,0.036697,0.9,1
638.0,0.496865,0.0,0.221003,0.165109,0.819749,0.0,0.623188,0.007246,0.025362,0.083057,0.0,1.0,0.342193,0.060241,0.0,0
879.0,0.467577,0.0,0.159272,0.130342,0.860068,0.0,0.67688,0.0,0.019499,0.106965,0.0,0.997215,0.335821,0.11579,0.6,0
13279.0,0.479931,0.084946,0.133369,0.099044,0.761955,0.0,0.575186,0.00173,0.096903,0.053554,0.070774,0.956913,0.477891,0.037342,0.759494,1
732.0,0.493169,0.001366,0.161202,0.102426,0.911202,0.0,0.77037,0.0,0.011111,0.09699,0.003704,0.996296,0.277592,0.114286,0.5,0
6816.0,0.478873,0.014085,0.123826,0.099662,0.752347,0.0,0.559806,0.005186,0.087844,0.05513,0.010049,0.983793,0.353139,0.027842,0.36,1
13512.0,0.493635,0.011545,0.143502,0.058462,0.931024,0.000888,0.847149,0.001011,0.02689,0.036055,0.009705,0.980995,0.067823,0.054945,0.24,1
945.0,0.455027,0.004233,0.15873,0.120388,0.895238,0.0,0.762295,0.008197,0.016393,0.100737,0.0,0.997268,0.285012,0.098214,0.5,0
33626.0,0.496699,0.009189,0.091447,0.060801,0.918545,0.011598,0.834602,0.00077,0.028992,0.037455,0.009493,0.991533,0.088904,0.071253,0.4375,1
3771.0,0.460886,0.859984,0.118271,0.111658,0.88279,0.010872,0.736801,0.00394,0.038613,0.128434,0.814027,0.990544,0.298764,0.171091,0.758621,0
10332.0,0.479868,0.002129,0.148471,0.107555,0.889083,0.018486,0.774424,0.002118,0.020651,0.022516,0.001324,0.981996,0.161232,0.057416,0.473684,1
1056.0,0.41572,0.282197,0.130682,0.136143,0.784091,0.107008,0.721622,0.002703,0.021622,0.072682,0.191892,1.0,0.310777,0.144737,0.714286,0
888.0,0.478604,0.0,0.275901,0.179266,0.847973,0.0,0.669173,0.0,0.007519,0.151064,0.0,1.0,0.285106,0.102273,0.705882,0
4710.0,0.488535,0.23397,0.047346,0.045662,0.957113,0.0,0.879814,0.001328,0.011952,0.042594,0.216468,0.9834,0.047044,0.193333,0.730769,1
1823.0,0.489852,0.013165,0.149205,0.065591,0.930883,0.006583,0.854202,0.001715,0.030875,0.070175,0.006861,0.974271,0.082935,0.05,0.538462,1
1916.0,0.466597,0.012004,0.312109,0.195695,0.689979,0.055324,0.535912,0.00221,0.055249,0.487543,0.00221,0.99337,0.259909,0.043321,0.846154,1
872.0,0.475917,0.006881,0.229358,0.179431,0.81422,0.030963,0.649025,0.0,0.022284,0.174713,0.011142,0.97493,0.275862,0.094118,0.5,0
1879.0,0.441724,0.006386,0.195317,0.187798,0.837147,0.035125,0.712401,0.002639,0.025066,0.102959,0.005277,0.996042,0.35858,0.065455,0.5,0
24.0,0.5,0.0,0.208333,0.166667,0.833333,0.0,0.636364,0.0,0.0,0.266667,0.0,1.0,0.333333,0.0,0.0,0
12636.0,0.481877,0.024058,0.080484,0.065984,0.380421,0.300728,0.425778,0.003856,0.263839,0.052206,0.012118,0.982374,0.513704,0.06895,0.6875,0
35.0,0.514286,0.0,0.028571,0.0,0.885714,0.0,0.666667,0.0,0.0,0.25,0.0,1.0,0.1875,0.333333,0.0,0
2602.0,0.46618,0.373943,0.179862,0.165587,0.828593,0.019216,0.667311,0.001934,0.041586,0.131092,0.326886,0.995164,0.301681,0.113565,0.869565,0
342.0,0.494152,0.002924,0.143275,0.092486,0.909357,0.0,0.766129,0.0,0.016129,0.156463,0.0,1.0,0.442177,0.176471,0.857143,0
38126.0,0.404029,0.001652,0.845696,0.340111,0.714867,0.017705,0.575124,0.0,0.015791,0.154937,0.001471,0.99615,0.30344,0.001155,0.557269,1
20390.0,0.492791,0.011672,0.037617,0.027654,0.919618,0.0,0.825416,0.002572,0.053858,0.045763,0.011195,0.954463,0.156489,0.096627,0.16,1
186.0,0.526882,0.0,0.069893,0.034091,0.919355,0.0,0.807018,0.017544,0.052632,0.017241,0.0,0.964912,0.068966,0.142857,0.0,0
253.0,0.462451,0.0,0.217391,0.117647,0.84585,0.0,0.663551,0.009346,0.018692,0.09322,0.0,0.990654,0.177966,0.117647,1.0,0
113.0,0.504425,0.557522,0.389381,0.196429,0.769912,0.0,0.551724,0.0,0.0,0.236842,0.5,1.0,0.328947,0.0,1.0,0
6657.0,0.487307,0.00676,0.197987,0.101963,0.907316,0.025387,0.84127,0.0,0.019215,0.02445,0.002506,0.985798,0.026895,0.054348,0.5,1
15209.0,0.481952,0.037741,0.134197,0.093413,0.809981,0.019396,0.659141,0.001737,0.057783,0.035627,0.032681,0.994001,0.245585,0.026961,0.657534,1
9528.0,0.475861,0.020151,0.119228,0.076292,0.877204,0.00063,0.726573,0.001062,0.02867,0.035339,0.017786,0.973985,0.435595,0.041267,0.586207,1
297.0,0.471381,0.003367,0.242424,0.165605,0.86532,0.0,0.712,0.008,0.008,0.242424,0.0,1.0,0.321212,0.2,0.714286,0
5859.0,0.437959,0.475508,0.20908,0.156696,0.754907,0.039085,0.577882,0.001558,0.041277,0.042506,0.428738,0.996885,0.373229,0.023466,0.583333,1
21884.0,0.479163,0.004981,0.141519,0.094052,0.855374,0.014257,0.724676,0.006961,0.050048,0.028452,0.003841,0.962314,0.289179,0.095598,0.208333,1
7464.0,0.507905,0.007771,0.055868,0.054996,0.948285,0.005091,0.846707,0.00166,0.02601,0.061786,0.008301,0.349751,0.529595,0.393895,0.294118,1
3592.0,0.514198,0.004454,0.106069,0.067049,0.896158,0.0,0.778646,0.006076,0.069444,0.039199,0.00434,0.907118,0.41201,0.146342,0.5,1
1073.0,0.481827,0.001864,0.200373,0.161871,0.862069,0.0,0.696429,0.004464,0.015625,0.050848,0.002232,0.995536,0.326271,0.105691,0.5,0
1250.0,0.4448,0.66,0.1752,0.159942,0.8816,0.0,0.712088,0.006593,0.026374,0.067623,0.610989,0.997802,0.364754,0.142857,1.0,0
310.0,0.474194,0.0,0.170968,0.079755,0.887097,0.0,0.75,0.0,0.032258,0.060606,0.0,1.0,0.128788,0.04,0.0,1
3492.0,0.5063,0.000859,0.049828,0.030162,0.9811,0.0,0.924577,0.0013,0.005202,0.02904,0.0,0.997399,0.074495,0.410256,0.571429,1
5595.0,0.483467,0.009473,0.101341,0.086851,0.861126,0.015013,0.729572,0.007296,0.047665,0.047266,0.007296,0.983463,0.312326,0.076628,0.655172,0
2444.0,0.433715,0.632979,0.131342,0.147399,0.895254,0.025777,0.775538,0.004032,0.016129,0.033766,0.526882,0.997312,0.253247,0.312757,1.0,0
2817.0,0.499468,0.008165,0.144835,0.112766,0.845935,0.0,0.659594,0.000923,0.050738,0.029543,0.012915,0.95941,0.433304,0.073395,0.285714,1
12823.0,0.466895,0.012556,0.186618,0.157402,0.766279,0.058333,0.627737,0.004418,0.045909,0.131755,0.006915,0.988475,0.421948,0.074759,0.6,0
7440.0,0.448656,0.201075,0.318952,0.169917,0.799866,0.024866,0.650842,0.003063,0.041654,0.174045,0.14487,0.985911,0.499115,0.089083,0.655172,0
2228.0,0.493716,0.130162,0.115799,0.106383,0.881508,0.0193,0.777116,0.003576,0.034565,0.036739,0.114422,0.995232,0.307692,0.102041,0.333333,1
106612.0,0.452876,0.521939,0.145584,0.134613,0.817516,0.032726,0.662975,0.002477,0.041166,0.095035,0.461081,0.994803,0.381986,0.104425,0.489224,0
1268.0,0.532334,0.000789,0.126183,0.048904,0.871451,0.0,0.759152,0.001927,0.065511,0.414882,0.0,0.992293,0.45885,0.048,0.916667,0
2975.0,0.50084,0.012101,0.147563,0.123232,0.827899,0.009412,0.656953,0.007494,0.046628,0.063913,0.011657,0.98418,0.39205,0.037825,0.777778,1
24512.0,0.489556,0.001999,0.09428,0.078884,0.889972,0.008404,0.764883,0.002774,0.043463,0.035885,0.001503,0.982777,0.202608,0.067197,0.179105,1
8564.0,0.467889,0.079052,0.130897,0.105113,0.874825,0.0,0.723044,0.004929,0.037893,0.035077,0.074861,0.986137,0.250892,0.093915,0.321429,1
1479.0,0.490872,0.003381,0.116295,0.061089,0.823529,0.00879,0.683706,0.00639,0.070288,0.230958,0.001597,0.98722,0.250614,0.031447,0.571429,1
2798.0,0.503931,0.013224,0.016083,0.022334,0.968549,0.0,0.913151,0.001241,0.01861,0.01827,0.011166,0.992556,0.01827,0.153846,0.666667,1
1040.0,0.463462,0.0125,0.148077,0.098566,0.895192,0.025962,0.80112,0.002801,0.022409,0.05305,0.014006,1.0,0.185676,0.084211,1.0,0
1486.0,0.489906,0.002019,0.189771,0.105541,0.891656,0.002019,0.757525,0.0,0.020067,0.021277,0.001672,0.998328,0.175123,0.060241,0.0,1
1618.0,0.490111,0.005562,0.196539,0.082424,0.920272,0.0,0.818605,0.0,0.017054,0.018265,0.006202,0.995349,0.038052,0.105263,0.0,1
5593.0,0.481316,0.000179,0.142678,0.09445,0.897193,0.02074,0.769358,0.004425,0.014934,0.125302,0.0,0.989491,0.254959,0.139381,0.792453,0
13622.0,0.492439,0.057921,0.065336,0.061614,0.894068,0.001175,0.774325,0.008573,0.054222,0.045222,0.058937,0.839906,0.431349,0.119666,0.133333,1
759.0,0.474308,0.006588,0.230567,0.140351,0.865613,0.0,0.697987,0.003356,0.036913,0.21372,0.006711,0.996644,0.171504,0.046512,0.545455,1
119.0,0.445378,0.0,0.285714,0.181818,0.764706,0.0,0.55,0.0,0.016667,0.166667,0.0,1.0,0.361111,0.0,1.0,0
29802.0,0.600027,0.098953,0.086907,0.072651,0.681397,0.225488,0.749343,0.006852,0.051958,0.070185,0.009592,0.960375,0.246762,0.069634,0.326599,1
284.0,0.471831,0.753521,0.18662,0.153333,0.901409,0.0,0.730769,0.0,0.0,0.2,0.692308,1.0,0.346154,0.16,0.0,0
13987.0,0.47058,0.020948,0.171874,0.115192,0.854794,0.0,0.684238,0.001877,0.026953,0.037122,0.022518,0.971341,0.264126,0.020011,0.16,1
549.0,0.433516,0.282332,0.271403,0.244373,0.715847,0.0,0.520755,0.0,0.090566,0.095563,0.218868,0.996226,0.269625,0.070707,0.333333,1
15051.0,0.490134,0.031559,0.088765,0.077013,0.847585,0.008571,0.705,0.003276,0.063276,0.040529,0.036207,0.991724,0.289992,0.046154,0.163265,1
103.0,0.543689,0.0,0.165049,0.170213,0.873786,0.0,0.666667,0.0,0.0,0.1875,0.0,1.0,0.25,0.1,1.0,0
23186.0,0.466187,0.006599,0.175106,0.089036,0.861511,0.0,0.712554,0.000925,0.035032,0.029608,0.005239,0.988597,0.108962,0.044767,0.440945,1
278.0,0.507194,0.0,0.151079,0.051095,0.920863,0.0,0.806122,0.010204,0.020408,0.084112,0.0,0.979592,0.280374,0.192308,0.5,0
1581.0,0.467426,0.272612,0.16129,0.150831,0.87666,0.004428,0.712887,0.001631,0.016313,0.086438,0.23491,0.990212,0.28614,0.124088,0.333333,0
444.0,0.490991,0.0,0.15991,0.137168,0.876126,0.0,0.715909,0.0,0.028409,0.088083,0.0,0.994318,0.227979,0.025641,0.75,0
49.0,0.591837,0.0,0.102041,0.0,0.959184,0.0,0.882353,0.0,0.0,0.105263,0.0,1.0,0.210526,0.0,1.0,0
3457.0,0.493781,0.027481,0.140295,0.062857,0.604281,0.096037,0.545655,0.002946,0.153903,0.046348,0.022091,0.9757,0.352528,0.036395,0.466667,1
4423.0,0.493556,0.006783,0.112819,0.064286,0.855302,0.0,0.719037,0.005734,0.068807,0.044384,0.008601,0.980505,0.26137,0.045872,0.363636,1
2937.0,0.494382,0.008853,0.032005,0.026936,0.986381,0.0,0.961353,0.001208,0.006039,0.049369,0.008454,0.996377,0.003444,0.055556,0.257143,1
12514.0,0.495205,0.19674,0.139044,0.07741,0.824037,0.011267,0.68332,0.005641,0.073932,0.053575,0.171233,0.97643,0.343947,0.09165,0.25,1
296.0,0.47973,0.057432,0.189189,0.123377,0.861487,0.0,0.68595,0.0,0.024793,0.110294,0.033058,0.991736,0.463235,0.133333,0.0,0
259.0,0.436293,0.389961,0.19305,0.082192,0.830116,0.0,0.645455,0.0,0.045455,0.19708,0.318182,0.990909,0.459854,0.111111,0.0,0
5987.0,0.489728,0.073493,0.127777,0.094272,0.891431,0.005679,0.769928,0.004296,0.043437,0.095423,0.059189,0.970406,0.233161,0.108987,0.395349,1
2911.0,0.459636,0.015459,0.301271,0.139224,0.822054,0.0,0.651745,0.0,0.040971,0.433849,0.015175,0.99393,0.171392,0.046205,0.567901,1
7559.0,0.499934,0.036777,0.058341,0.051323,0.930679,0.0,0.829088,0.006485,0.044928,0.037021,0.038444,0.698008,0.4438,0.280667,0.0,1
21476.0,0.480117,0.00894,0.141367,0.110076,0.806528,0.026402,0.653115,0.004993,0.057656,0.052383,0.006895,0.989063,0.385716,0.061414,0.360465,0
1934.0,0.47001,0.001034,0.202689,0.148293,0.88211,0.0,0.735677,0.0,0.028646,0.166124,0.001302,0.986979,0.246471,0.098361,0.263158,1
13531.0,0.466411,0.018254,0.175819,0.140443,0.746286,0.010568,0.54847,0.003704,0.066828,0.068826,0.016425,0.989694,0.419253,0.044507,0.465116,1
111.0,0.486487,0.0,0.18018,0.087719,0.927928,0.0,0.833333,0.0,0.02381,0.16,0.0,0.976191,0.2,0.0,1.0,0
65452.0,0.467595,0.052573,0.194417,0.117772,0.832091,0.020534,0.700621,0.003293,0.053327,0.09558,0.038096,0.906369,0.462533,0.045301,0.386167,1
1397.0,0.478883,0.000716,0.186113,0.146978,0.848246,0.010737,0.701975,0.003591,0.037702,0.05753,0.0,1.0,0.199662,0.068376,0.75,0
42355.0,0.510636,0.005265,0.042238,0.044097,0.945532,0.012962,0.875595,0.005301,0.031804,0.031636,0.005301,0.201536,0.806306,0.489807,0.354839,1
2234.0,0.520143,0.001343,0.100269,0.046642,0.827663,0.001791,0.673516,0.006849,0.0879,0.348699,0.001142,0.971461,0.479554,0.122047,0.4,1
4125.0,0.473212,0.00897,0.209939,0.126093,0.772121,0.004121,0.5808,0.005333,0.058133,0.073617,0.008533,0.933867,0.532609,0.072822,0.352941,0
11482.0,0.509667,0.004093,0.047379,0.0373,0.910033,0.0,0.803896,0.003076,0.053576,0.066076,0.00282,0.995386,0.195834,0.089872,0.526316,1
94279.0,0.501628,0.032468,0.08599,0.074554,0.904464,0.026284,0.820087,0.00539,0.044181,0.033068,0.031694,0.613528,0.455903,0.254173,0.20904,1
9342.0,0.485121,0.009313,0.154999,0.095842,0.773817,0.0,0.589138,0.005667,0.075089,0.145308,0.008737,0.902007,0.539455,0.048906,0.482759,1
1091.0,0.493126,0.000917,0.168653,0.108499,0.896425,0.054995,0.84375,0.0,0.009375,0.015385,0.0,0.996875,0.123077,0.2,0.0,0
202.0,0.470297,0.0,0.074257,0.093458,0.920792,0.0,0.782609,0.0,0.014493,0.028169,0.0,1.0,0.239437,0.105263,0.0,0
2887.0,0.506754,0.013163,0.051611,0.030197,0.975061,0.0,0.934225,0.0,0.013378,0.02181,0.010033,0.995541,0.019629,0.090909,0.090909,1
1484.0,0.45283,0.0,0.318733,0.23399,0.794474,0.035714,0.633028,0.004587,0.010703,0.082749,0.0,1.0,0.256662,0.067568,0.7,0
