Vehicle_Reference_df_res,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Number_of_Vehicles,Number_of_Casualties,Local_Authority_(District),1st_Road_Number,2nd_Road_Number,Vehicle_Reference_df,Casualty_Reference,Age_of_Casualty,Age_Band_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Casualty_Type,Casualty_IMD_Decile,label
2,9,3,0,0,0,33,6,1997.0,2,7,469849.0,381045.0,-0.952857,53.32173100000001,31,2,2,341.0,620.0,0.0,2,2,33,6,0,0,9,7,1
2,9,3,0,0,0,25,5,1248.0,2,7,603799.0,294447.0,1.001711,52.509802,36,3,1,400.0,572.0,0.0,2,1,25,5,0,0,9,8,1
1,9,18,0,10,0,42,7,1086.0,1,8,382209.0,346342.0,-2.266629,53.01408299999999,21,4,1,253.0,67.0,0.0,1,1,42,7,0,0,9,4,1
1,9,18,0,0,0,51,8,1968.0,2,3,518683.0,467734.0,-0.186872,54.091835,16,2,2,231.0,1254.0,0.0,1,2,13,3,0,0,9,9,0
2,9,16,0,0,0,51,8,2143.0,2,2,450363.0,317511.0,-1.255259,52.752874,33,2,2,362.0,7205.0,0.0,1,1,46,8,0,0,9,5,0
1,9,9,9,0,0,36,7,1968.0,2,9,417927.0,433204.0,-1.729337,53.79484100000001,13,1,1,200.0,0.0,0.0,1,1,52,8,6,9,0,1,1
3,9,4,0,0,0,36,7,2143.0,2,1,445689.0,399140.0,-1.312907,53.486998,14,3,3,213.0,6022.0,0.0,3,3,1,1,0,0,9,4,1
1,9,18,0,0,0,22,5,1388.0,1,7,351620.0,418790.0,-2.733633,53.66334300000001,4,2,2,73.0,581.0,0.0,2,1,56,9,0,0,9,9,1
3,9,7,0,0,0,24,5,998.0,1,8,534780.0,195730.0,-0.053496,51.644225,1,3,5,32.0,0.0,0.0,1,1,65,9,0,0,9,7,1
3,9,18,0,0,0,60,9,2231.0,2,9,504910.0,276050.0,-0.460427,52.372459,35,3,4,393.0,14.0,0.0,1,1,46,8,0,0,9,6,0
1,9,4,0,0,0,36,7,1998.0,1,12,541350.0,189640.0,0.038939,51.587891,1,2,1,14.0,406.0,0.0,2,1,25,5,0,0,5,3,1
3,21,18,0,0,0,51,8,12777.0,2,4,462156.0,395142.0,-1.06556,53.449384,14,3,3,211.0,6463.0,0.0,3,3,51,8,0,0,21,3,0
2,9,16,0,0,0,54,8,1364.0,1,1,567617.0,243235.0,0.443679,52.062134,42,2,1,451.0,1057.0,0.0,1,1,57,9,0,0,5,6,1
2,9,13,0,0,6,64,9,999.0,1,1,542250.0,261370.0,0.081514,52.232157,35,2,1,395.0,14.0,0.0,2,1,64,9,0,0,9,9,1
2,9,8,0,0,0,33,6,2179.0,2,7,372700.0,424250.0,-2.415115,53.713947,4,2,1,70.0,0.0,0.0,2,1,33,6,0,0,9,7,1
1,11,5,0,0,0,51,8,6370.0,2,7,420719.0,551372.0,-1.678791,54.85671600000001,11,1,1,169.0,6532.0,0.0,1,1,3,1,0,0,11,3,0
5,9,4,0,0,0,31,6,1199.0,2,2,425775.0,290595.0,-1.621634,52.512639,23,5,5,290.0,4114.0,4098.0,5,3,31,6,0,0,9,1,1
2,9,18,0,0,0,32,6,1461.0,2,3,490457.0,170959.0,-0.7002079999999999,51.430425,43,3,1,470.0,3034.0,7007.0,2,1,32,6,0,0,9,10,1
2,9,18,0,0,0,55,8,3436.0,1,2,404910.0,267810.0,-1.929407,52.308383,22,2,4,274.0,441.0,4023.0,1,4,27,6,0,0,9,10,1
2,9,3,0,0,0,28,6,1796.0,1,13,556742.0,364565.0,0.342655,53.155152,32,2,1,351.0,52.0,0.0,2,1,28,6,0,0,9,2,1
4,9,4,0,0,0,46,8,2191.0,2,1,363320.0,424510.0,-2.557261,53.715707,4,4,2,73.0,65.0,0.0,1,1,24,5,0,0,9,3,0
2,9,18,0,0,0,51,8,1399.0,1,12,351560.0,270720.0,-2.712287,52.332417,22,3,2,286.0,49.0,0.0,2,2,53,8,0,0,9,6,0
2,9,16,0,0,4,59,9,1910.0,2,9,383270.0,245140.0,-2.245674,52.104336,22,2,2,273.0,4211.0,0.0,2,1,59,9,0,0,9,8,0
1,11,9,0,0,0,41,7,4250.0,2,17,352421.0,179746.0,-2.687046,51.514623,52,2,3,601.0,0.0,0.0,2,1,2,1,0,0,9,10,0
1,9,18,0,0,0,20,4,1229.0,1,5,441112.0,449931.0,-1.375155,53.943861,12,2,2,182.0,1.0,0.0,2,2,29,6,0,0,9,1,1
1,9,16,0,0,0,50,8,2597.0,1,13,512047.0,404650.0,-0.31122,53.526575,32,2,3,356.0,237.0,0.0,1,2,17,4,0,0,9,7,0
3,9,18,0,0,0,23,5,1124.0,1,11,544682.0,114871.0,0.056798,50.915174,47,4,3,554.0,26.0,0.0,3,3,23,5,0,0,9,7,1
2,9,18,0,10,0,42,7,1596.0,1,6,482566.0,171022.0,-0.813674,51.432194,43,3,3,475.0,3034.0,0.0,1,1,50,8,0,0,9,10,0
1,9,18,0,0,0,29,6,1796.0,1,10,390004.0,163832.0,-2.144994,51.373455,54,3,3,635.0,350.0,0.0,2,2,43,7,0,0,9,4,1
2,9,9,0,0,0,51,8,1390.0,1,9,422982.0,428624.0,-1.65294,53.75347900000001,13,2,1,204.0,6135.0,0.0,1,1,21,5,0,0,3,3,1
2,9,17,0,0,0,49,8,1461.0,2,4,390610.0,263980.0,-2.139038,52.27389,22,3,3,277.0,38.0,0.0,2,2,19,4,0,0,9,3,1
2,9,3,0,0,0,40,7,1242.0,1,5,536393.0,204726.0,-0.026687,51.724673,41,2,1,430.0,176.0,1170.0,2,1,40,7,0,0,9,3,1
3,9,18,0,0,0,81,11,1997.0,2,3,502531.0,347792.0,-0.473026,53.017617,32,3,4,353.0,17.0,0.0,2,2,27,6,0,0,9,8,0
1,9,18,0,0,10,23,5,1364.0,1,7,407160.0,277390.0,-1.896205,52.394485,22,1,2,270.0,435.0,0.0,1,1,23,5,0,0,9,1,1
2,9,8,0,0,0,49,8,2179.0,2,4,488804.0,192905.0,-0.7184520000000001,51.627962,43,2,2,480.0,2809.0,3087.0,2,2,49,8,0,0,9,4,0
2,9,4,0,0,0,24,5,1984.0,1,5,523720.0,221950.0,-0.203925,51.882395,41,3,2,435.0,1.0,0.0,1,1,46,8,0,0,9,8,0
2,9,4,0,0,0,51,8,1560.0,2,1,482100.0,247289.0,-0.802366,52.117834,43,2,2,479.0,1.0,0.0,1,1,33,6,0,0,9,2,1
2,9,18,0,0,0,44,7,1560.0,2,2,454893.0,518498.0,-1.152693,54.558751,17,2,4,241.0,1380.0,0.0,1,1,33,6,0,0,9,1,0
1,9,18,0,0,0,37,7,1360.0,1,11,247159.0,57635.0,-4.151873,50.398669,50,2,1,583.0,0.0,0.0,1,1,37,7,0,0,9,1,1
1,9,18,0,0,0,64,9,998.0,1,3,339963.0,159066.0,-2.863047,51.327509,52,1,1,605.0,368.0,0.0,1,1,9,2,9,9,0,5,1
2,9,9,0,0,0,47,8,1686.0,2,1,372330.0,408880.0,-2.419347,53.575782,6,2,3,100.0,579.0,666.0,1,2,18,4,0,0,9,3,1
2,9,18,0,0,0,32,6,998.0,1,13,426934.0,567328.0,-1.580495,54.999803,10,2,1,147.0,188.0,1575.0,2,1,32,6,0,0,9,9,1
2,9,10,0,0,0,20,4,1149.0,1,13,561572.0,298094.0,0.381895,52.556701,36,2,2,407.0,10.0,0.0,2,2,20,4,0,0,9,5,1
1,3,18,2,0,0,42,7,125.0,1,1,523800.0,177400.0,-0.218547,51.482015,1,2,1,11.0,219.0,0.0,1,1,42,7,0,0,3,5,0
1,9,18,0,0,0,31,6,1461.0,2,8,420583.0,305396.0,-1.697223,52.645915,21,1,1,258.0,11.0,11.0,1,1,7,2,5,1,0,5,1
4,9,3,0,0,0,23,5,1560.0,2,10,453044.0,202881.0,-1.233496,51.722151,43,4,5,484.0,4142.0,423.0,4,4,23,5,0,0,9,6,1
2,9,18,0,0,0,21,5,1984.0,1,1,539018.0,205992.0,0.011798,51.735405,42,2,2,456.0,194.0,0.0,1,1,55,8,0,0,9,2,1
1,9,6,0,0,0,38,7,1896.0,2,10,379600.0,397250.0,-2.308795,53.471584,6,2,2,112.0,0.0,0.0,1,1,38,7,0,0,9,4,0
1,9,18,0,0,0,31,6,1364.0,1,10,384790.0,434790.0,-2.2324580000000003,53.809175,4,2,2,72.0,682.0,0.0,2,2,45,7,0,0,9,2,1
2,9,18,0,0,0,43,7,1984.0,1,14,333817.0,399239.0,-2.998864,53.485685,5,2,2,93.0,0.0,0.0,2,1,19,4,0,0,9,3,1
1,11,5,0,0,0,46,8,9360.0,2,5,518200.0,183200.0,-0.297211,51.535339,1,1,1,28.0,4005.0,456.0,1,1,46,8,10,9,0,4,0
4,9,4,0,0,0,35,6,1796.0,1,8,530400.0,181730.0,-0.121955,51.519446,1,5,6,2.0,4200.0,0.0,4,6,35,6,0,0,9,3,1
1,9,3,0,0,0,56,9,1242.0,1,6,372684.0,356004.0,-2.409421,53.100529,7,2,1,129.0,534.0,0.0,1,1,56,9,0,0,9,10,1
1,9,18,0,0,0,34,6,1560.0,2,10,425963.0,301482.0,-1.618016,52.6105,23,1,1,290.0,0.0,0.0,1,1,14,3,5,2,0,9,1
2,9,9,0,0,0,46,8,998.0,1,2,528220.0,187960.0,-0.151089,51.575931,1,2,1,31.0,519.0,0.0,1,1,34,6,0,0,1,3,1
1,8,18,0,0,0,41,7,2143.0,2,1,526540.0,181080.0,-0.177791,51.514481,1,2,1,1.0,410.0,0.0,2,1,70,10,0,0,8,7,0
2,9,3,0,0,0,21,5,1242.0,1,1,487708.0,241757.0,-0.721906,52.067251,43,2,1,479.0,1158.0,0.0,2,1,21,5,0,0,9,3,1
1,9,9,0,0,0,52,8,2926.0,2,15,322050.0,526380.0,-3.208889,54.626512,3,2,2,60.0,0.0,0.0,1,1,52,8,0,0,9,8,0
3,9,4,0,0,0,37,7,1124.0,1,15,368643.0,393592.0,-2.473492,53.438164,7,3,1,128.0,62.0,0.0,2,1,23,5,0,0,9,9,0
2,9,18,0,0,0,50,8,1781.0,1,13,340296.0,171081.0,-2.860291,51.435566,52,2,1,605.0,0.0,0.0,2,1,50,8,0,0,9,8,1
2,9,2,0,0,0,60,9,1399.0,1,8,433958.0,386342.0,-1.491067,53.372853000000006,14,3,1,215.0,0.0,0.0,2,1,60,9,0,0,9,7,0
3,20,18,0,0,0,50,8,4250.0,2,13,543680.0,253660.0,0.099171,52.162517,35,3,1,395.0,11.0,11.0,2,1,49,8,0,0,9,8,0
2,5,7,0,0,0,58,9,600.0,1,17,395819.0,306834.0,-2.063248,52.659211,21,2,1,254.0,460.0,6.0,2,1,58,9,0,0,5,6,0
1,9,13,0,0,0,34,6,1896.0,2,13,449803.0,113159.0,-1.2929190000000002,50.915753,44,2,1,491.0,3033.0,0.0,2,1,25,5,0,0,1,4,0
4,9,18,0,0,6,55,8,1968.0,2,2,455292.0,295011.0,-1.186002,52.550146,33,4,1,360.0,1.0,0.0,1,1,43,7,0,0,9,8,0
24,9,18,0,0,0,59,9,1998.0,1,9,455113.0,220016.0,-1.200828,51.875998,43,37,36,481.0,40.0,0.0,3,24,52,8,0,0,9,5,0
2,5,18,0,0,0,24,5,998.0,1,13,444393.0,521523.0,-1.314586,54.586961,17,2,2,245.0,0.0,0.0,1,1,47,8,0,0,9,4,0
2,21,12,0,0,0,53,8,10518.0,2,5,447479.0,322564.0,-1.297254,52.79855500000001,33,2,1,366.0,1.0,0.0,1,1,51,8,0,0,19,8,0
1,9,18,0,0,6,30,6,2993.0,2,9,337020.0,562770.0,-2.984978,54.955575,3,1,2,62.0,6.0,0.0,1,1,30,6,0,0,9,7,0
1,9,7,0,0,0,51,8,1199.0,2,5,556010.0,191930.0,0.251401,51.604601,1,2,2,15.0,12.0,0.0,1,1,51,8,0,0,9,5,1
1,9,18,0,0,0,26,6,998.0,1,1,508970.0,179760.0,-0.431294,51.506276,1,2,2,26.0,437.0,0.0,1,2,50,8,0,0,9,7,1
1,9,18,0,0,10,26,6,1596.0,1,16,436377.0,541170.0,-1.436177,54.764152,11,1,2,169.0,65.0,0.0,1,2,5,1,0,0,9,6,0
2,9,3,0,0,0,34,6,1461.0,2,1,426989.0,566533.0,-1.57971,54.992656,10,2,1,147.0,1058.0,188.0,2,1,34,6,0,0,9,9,1
1,9,9,0,0,0,22,5,2143.0,2,3,542310.0,188360.0,0.052268,51.576148,1,2,2,14.0,12.0,0.0,2,2,68,10,0,0,9,2,1
1,11,18,0,0,0,36,7,7300.0,2,6,382700.0,400520.0,-2.262275,53.501087,6,2,1,107.0,576.0,5066.0,2,1,10,2,0,0,1,1,1
2,9,18,0,0,0,58,9,2495.0,2,29,484108.0,358901.0,-0.744678,53.120661,31,2,5,345.0,0.0,0.0,1,3,29,6,0,0,9,4,0
1,9,5,0,0,0,30,6,1596.0,1,8,411636.0,293122.0,-1.829884,52.535839,20,2,2,300.0,5127.0,0.0,2,2,20,4,0,0,3,10,1
2,9,18,0,0,0,36,7,1600.0,2,5,454680.0,290905.0,-1.195701,52.513299,33,2,3,363.0,581.0,6117.0,2,3,8,2,0,0,9,10,1
1,9,3,0,0,0,40,7,1796.0,1,11,504439.0,426271.0,-0.418693,53.722401,16,2,1,228.0,0.0,0.0,1,1,40,7,0,0,9,7,1
1,9,18,0,0,0,35,6,998.0,1,1,442025.0,402298.0,-1.3677,53.515687,14,2,2,210.0,633.0,6273.0,2,2,49,8,0,0,9,2,1
1,9,18,0,0,0,23,5,998.0,1,4,340169.0,376307.0,-2.8987990000000003,53.280347,7,1,1,130.0,5032.0,0.0,1,1,5,1,5,3,0,4,1
1,9,9,0,0,0,52,8,2401.0,2,10,459101.0,384346.0,-1.113573,53.35270600000001,31,2,1,341.0,60.0,0.0,2,1,22,5,0,0,3,2,1
1,19,18,0,0,0,31,6,2402.0,2,4,510039.0,222535.0,-0.402416,51.890517,40,2,1,421.0,0.0,0.0,2,1,31,6,0,0,9,2,0
1,9,18,0,0,0,76,11,1797.0,8,5,291619.0,92756.0,-3.536832,50.724286,50,1,1,581.0,0.0,0.0,1,1,4,1,5,4,0,3,1
2,9,18,0,0,0,50,8,1598.0,1,1,433980.0,278820.0,-1.501933,52.406338,20,3,2,302.0,4053.0,4600.0,1,1,33,6,0,0,9,3,1
1,9,18,0,0,0,41,7,1598.0,1,12,404502.0,249713.0,-1.935626,52.145689,22,1,1,277.0,0.0,0.0,1,1,36,7,6,7,0,2,0
1,9,9,0,0,0,61,9,1240.0,1,9,525040.0,177530.0,-0.200653,51.482911,1,2,1,11.0,317.0,0.0,1,1,61,9,0,0,9,5,0
1,9,7,0,0,0,30,6,1796.0,2,1,392910.0,398370.0,-2.108306,53.482001,6,1,1,110.0,0.0,0.0,1,1,27,6,5,1,0,1,0
2,9,18,0,0,0,39,7,1364.0,1,10,443647.0,380986.0,-1.346185,53.324004,14,3,2,215.0,6053.0,0.0,2,1,39,7,0,0,9,9,1
3,9,5,0,0,0,52,8,2179.0,2,1,522090.0,175490.0,-0.243819,51.465221,1,3,1,24.0,306.0,205.0,2,1,32,6,0,0,9,6,1
2,9,18,0,0,0,46,8,1968.0,2,12,406600.0,284950.0,-1.904287,52.462456,20,2,2,300.0,38.0,0.0,2,2,16,4,0,0,9,7,1
2,9,18,0,0,0,42,7,1997.0,2,9,251198.0,77302.0,-4.102919,50.576454,50,2,2,589.0,0.0,0.0,1,1,37,7,0,0,9,5,1
2,9,18,0,0,0,21,5,1956.0,2,2,338334.0,388518.0,-2.928698,53.38988199999999,5,2,2,91.0,562.0,0.0,2,2,21,5,0,0,9,1,0
1,3,15,0,0,0,23,5,124.0,1,9,529200.0,182800.0,-0.138848,51.529337,1,2,1,2.0,400.0,0.0,1,1,23,5,0,0,3,3,0
1,9,18,0,0,0,48,8,4395.0,1,1,358140.0,512440.0,-2.647955,54.505536,3,10,4,64.0,6.0,0.0,1,2,50,8,0,0,9,6,0
2,9,18,0,0,0,47,8,1560.0,2,4,376230.0,428700.0,-2.361975,53.754116,4,2,1,75.0,0.0,0.0,2,1,47,8,0,0,9,2,1
3,9,18,0,0,0,23,5,1248.0,2,8,536670.0,181650.0,-0.031673,51.517246,1,3,2,5.0,140.0,0.0,3,2,23,5,0,0,9,2,0
2,9,10,0,0,0,55,8,1198.0,1,1,410560.0,281830.0,-1.846101,52.434346,20,4,5,300.0,34.0,4146.0,2,1,55,8,0,0,9,4,1
1,9,8,0,0,0,38,7,1910.0,2,13,531800.0,190910.0,-0.09835,51.601616,1,2,2,31.0,0.0,0.0,1,2,40,7,0,0,9,5,1
1,9,9,0,0,0,23,5,1399.0,2,12,462081.0,220255.0,-1.09958,51.877416,43,2,3,481.0,41.0,0.0,2,3,10,2,0,0,9,7,0
1,9,5,0,0,0,50,8,1199.0,1,14,566807.0,244968.0,0.432721,52.077945,37,2,4,414.0,0.0,0.0,2,4,27,6,0,0,98,3,1
2,9,4,0,0,0,45,7,1996.0,1,17,441102.0,445725.0,-1.3758709999999998,53.906062,13,2,2,204.0,659.0,659.0,2,2,45,7,0,0,9,9,1
1,9,18,0,0,0,47,8,1956.0,2,1,386760.0,402990.0,-2.201175,53.52340699999999,6,2,1,102.0,0.0,0.0,2,1,59,9,0,0,9,6,0
4,9,18,0,0,0,63,9,2143.0,2,2,386786.0,202415.0,-2.192687,51.720301,53,4,2,624.0,419.0,269.0,2,2,56,9,0,0,9,7,1
1,9,18,0,0,0,38,7,1598.0,1,11,502859.0,229002.0,-0.50478,51.950011,40,2,3,424.0,1.0,1.0,1,3,5,1,0,0,9,7,0
2,9,18,0,0,0,22,5,998.0,1,3,418052.0,187347.0,-1.740852,51.584694,54,2,2,633.0,419.0,0.0,2,1,22,5,0,0,9,10,0
1,9,18,0,0,0,21,5,1242.0,1,1,460106.0,405916.0,-1.094363,53.54645,14,2,2,211.0,630.0,0.0,2,2,64,9,0,0,9,4,1
1,9,18,0,4,0,27,6,1364.0,1,10,392910.0,284120.0,-2.105762,52.454986,20,3,4,303.0,0.0,0.0,2,4,2,1,6,9,0,4,1
1,9,4,0,0,0,57,9,1560.0,2,8,341408.0,398915.0,-2.884421,53.483675,5,2,1,90.0,5208.0,0.0,1,1,53,8,0,0,9,2,0
1,9,9,9,0,0,33,6,1461.0,2,4,401543.0,343613.0,-1.978463,52.989849,21,1,2,256.0,5417.0,0.0,1,1,33,6,0,0,9,7,0
1,9,9,0,0,0,36,7,1248.0,1,5,515660.0,188520.0,-0.332067,51.583679,1,2,2,29.0,0.0,409.0,1,1,36,7,0,0,9,3,0
2,9,18,0,0,0,61,9,1587.0,1,11,357080.0,419170.0,-2.651063,53.667236,4,2,2,73.0,5252.0,0.0,2,2,61,9,0,0,9,6,1
2,9,18,0,0,0,48,8,1598.0,1,11,368121.0,79894.0,-2.451971,50.617876,55,2,2,646.0,0.0,0.0,2,1,48,8,0,0,9,6,1
1,9,16,0,0,11,67,10,1397.0,1,6,164191.0,35438.0,-5.303709,50.17195,50,1,1,596.0,3280.0,0.0,1,1,67,10,0,0,9,4,1
2,9,18,0,0,0,20,4,1240.0,1,9,415187.0,185300.0,-1.7822900000000002,51.566373,54,2,1,633.0,404.0,409.0,2,1,20,4,0,0,9,2,1
1,5,18,0,10,1,41,7,1157.0,1,27,504248.0,441017.0,-0.416605,53.854925,16,3,2,231.0,1035.0,1035.0,2,2,34,6,0,0,9,8,0
1,9,18,0,0,0,44,7,1299.0,1,14,360073.0,168632.0,-2.5755220000000003,51.41529,52,1,1,601.0,0.0,0.0,1,1,13,3,5,3,0,3,1
2,9,4,0,0,0,52,8,1242.0,1,2,400810.0,298900.0,-1.989477,52.587903,20,3,1,307.0,4148.0,0.0,1,1,47,8,0,0,4,10,0
2,9,18,0,0,0,24,5,1796.0,1,15,619507.0,309525.0,1.242772,52.639042,36,2,4,404.0,1074.0,0.0,2,1,24,5,0,0,9,5,0
1,9,16,0,0,0,26,6,1390.0,1,13,504320.0,302450.0,-0.460829,52.609821,35,2,2,394.0,0.0,0.0,1,1,26,6,0,0,9,8,0
1,9,18,0,1,10,31,6,1242.0,1,3,358820.0,510410.0,-2.637171,54.487349,3,2,2,64.0,6.0,0.0,1,1,43,7,7,9,0,10,0
1,4,15,0,0,0,35,6,599.0,1,15,527770.0,181220.0,-0.160024,51.515463,1,2,2,1.0,0.0,0.0,1,1,35,6,0,0,4,3,1
1,2,4,0,0,0,23,5,49.0,1,3,518200.0,183910.0,-0.296973,51.54172,1,2,1,28.0,0.0,0.0,1,1,23,5,0,0,2,4,0
1,9,17,0,0,0,58,9,2926.0,2,13,376780.0,405800.0,-2.351914,53.548316,6,4,5,101.0,667.0,0.0,1,1,58,9,0,0,9,4,0
1,9,10,0,0,0,51,8,999.0,1,1,443642.0,401417.0,-1.343439,53.507637,14,2,1,213.0,633.0,0.0,1,1,51,8,0,0,9,4,0
3,9,7,0,0,0,19,4,1598.0,2,2,419414.0,293977.0,-1.715166,52.543305,23,3,2,290.0,4097.0,0.0,1,1,39,7,0,0,9,1,1
