f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,label
161,77,76,71,94,0,0,47,87,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,88,76,71,94,0,14,32,0,6,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,77,76,74,95,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
15,77,84,129,97,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,17,25,0,0,2,0,0
67,89,76,71,94,0,2,7,0,11,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,77,76,71,94,0,0,38,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,105,76,71,94,3,30,19,0,0,7,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,79,76,71,94,17,4,0,2,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,77,76,71,94,0,28,21,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,100,76,71,94,0,0,3,3,0,0,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,77,76,71,94,0,38,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,78,80,71,94,2,1,62,8,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1
99,77,76,71,94,0,0,46,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,102,76,71,94,0,0,0,38,25,0,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,151,110,71,94,0,0,0,1,1,12,51,0,0,41,33,0,0,0,0,0,0,0,0,0,0,0
110,97,82,71,94,0,0,0,0,49,68,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
41,137,95,71,94,0,1,2,0,0,0,49,12,0,26,18,0,0,0,0,0,0,0,0,0,0,0
76,77,76,71,94,1,1,0,52,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,77,79,71,94,0,53,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
74,119,77,71,94,44,19,1,1,0,0,0,0,40,3,0,0,0,0,0,0,0,0,0,0,0,1
130,77,76,71,95,0,6,56,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67,85,77,77,94,0,0,0,1,36,28,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,1
76,77,76,71,94,0,32,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,79,78,71,94,36,73,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
149,77,78,71,94,37,9,0,34,66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75,78,76,71,94,0,3,0,0,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,81,76,71,94,0,0,12,51,34,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,77,76,72,97,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
107,85,84,72,95,56,6,0,0,15,31,0,0,0,1,0,0,5,1,0,0,0,0,0,1,0,0
80,77,81,77,94,0,25,37,2,7,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1
83,88,88,71,94,0,56,13,5,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,1
113,94,76,71,94,0,0,0,0,63,53,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,80,76,71,94,0,3,2,0,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,110,76,71,94,1,5,0,0,0,0,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113,81,76,71,94,1,43,5,0,45,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,77,91,153,94,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,46,21,0,0,0,0,0
72,78,76,71,94,0,0,0,6,56,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,100,77,71,94,0,0,0,0,2,2,43,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
97,95,113,130,94,0,0,31,31,0,17,28,0,0,0,0,0,0,0,47,21,0,0,0,0,0,0
127,97,76,71,94,0,0,39,39,0,43,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,77,76,71,94,0,1,3,37,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,77,76,71,94,0,4,7,46,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,77,120,92,101,0,0,2,0,1,2,0,0,0,0,0,0,0,45,3,0,0,0,0,5,0,0
74,77,76,71,94,0,0,45,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,79,77,72,94,0,0,79,7,44,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,81,81,71,94,2,4,16,32,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1
62,77,76,71,94,2,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,82,84,71,94,0,0,0,0,49,15,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1
74,77,76,71,94,0,0,43,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,125,76,71,94,0,0,2,0,8,37,0,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0
81,83,77,71,94,3,0,3,27,39,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1
20,112,86,71,94,0,0,0,7,0,0,0,0,12,31,0,0,0,0,0,0,0,0,0,0,0,0
119,77,76,71,94,0,19,30,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,102,110,71,94,0,9,37,0,0,0,1,1,2,0,44,6,0,0,0,0,0,0,0,0,0,0
61,77,76,71,94,0,3,23,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,103,76,71,94,0,5,41,2,3,56,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,102,76,71,94,3,0,0,0,2,24,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,113,113,71,94,0,0,25,37,0,0,0,0,0,16,51,0,0,0,0,0,0,0,0,0,0,0
16,81,99,109,94,0,0,0,1,2,0,0,0,0,2,7,0,0,0,17,23,0,0,0,0,0,0
116,122,76,71,94,0,0,47,20,0,14,57,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,77,76,71,94,0,0,56,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,94,76,71,94,71,8,2,1,0,21,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,119,76,71,94,0,0,0,0,6,40,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,77,76,71,94,3,3,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,111,76,71,94,5,5,0,0,1,0,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,100,76,82,149,0,0,0,4,2,0,39,6,0,0,0,0,0,0,0,0,0,0,0,29,6,0
77,114,76,71,94,0,44,19,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,1
14,77,93,200,105,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,36,47,23,0,0,0,0
56,77,80,73,98,0,0,18,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1
75,84,76,71,94,0,1,1,0,41,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,78,77,71,94,18,28,0,41,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,77,76,71,94,23,23,0,14,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,129,96,71,94,0,0,0,0,0,23,41,0,0,23,20,0,0,0,0,0,0,0,0,0,0,0
63,78,76,71,94,6,3,0,0,41,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,77,76,71,94,2,3,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,108,92,73,94,0,0,0,12,50,0,0,0,0,39,4,0,0,0,1,2,0,0,0,0,0,1
45,124,76,71,94,0,0,3,1,2,0,36,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,77,76,71,94,0,40,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,77,76,71,94,0,0,46,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,85,78,80,94,0,0,0,0,30,32,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1
90,138,92,71,94,48,34,0,0,0,0,0,0,25,50,0,0,0,0,0,0,0,0,0,0,0,0
116,77,76,71,94,50,12,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,172,84,71,94,0,0,0,0,13,8,27,18,50,25,0,0,0,0,0,0,0,0,0,0,0,0
66,78,78,71,94,2,1,54,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1
98,96,76,71,94,1,45,19,0,0,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,77,129,74,94,56,6,0,0,0,0,0,0,0,0,0,0,35,9,0,0,0,0,0,0,0,0
93,77,76,71,94,0,13,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,85,77,71,94,0,0,0,38,27,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1
90,101,79,71,94,0,0,0,50,12,0,36,9,0,0,0,2,0,0,0,0,0,0,0,0,0,1
81,77,76,71,94,0,3,9,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,106,94,71,94,0,0,0,11,1,0,0,0,0,32,12,0,0,0,0,0,0,0,0,0,2,1
93,80,79,74,94,0,0,0,42,40,1,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
76,91,86,87,94,0,0,0,0,24,57,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,1
99,80,80,71,94,0,14,32,14,32,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
76,77,76,71,94,0,37,25,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,77,76,74,94,0,0,44,19,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
74,126,88,71,94,0,0,1,26,37,0,0,0,22,37,0,0,0,0,0,0,0,0,0,0,0,0
97,97,76,71,94,62,0,0,1,2,7,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,112,76,71,94,0,1,4,1,0,0,37,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,77,76,71,94,0,37,9,34,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,77,76,71,94,2,1,24,74,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,105,76,71,94,0,0,0,2,0,0,41,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,113,80,78,94,0,2,2,1,0,0,35,25,0,0,0,0,0,0,4,4,0,0,0,0,0,0
65,77,76,71,94,1,3,2,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,77,76,71,94,1,42,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,77,76,71,94,2,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,77,76,71,94,0,63,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,139,91,71,94,1,2,56,6,0,0,0,0,30,45,0,0,0,0,0,0,0,0,0,0,0,0
72,77,76,71,94,0,0,5,37,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,77,77,76,94,2,3,0,0,54,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1
74,77,77,71,94,0,44,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
123,85,76,71,94,0,37,25,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,153,76,71,94,0,0,1,2,0,13,36,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,77,80,79,94,2,15,32,1,2,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1
36,98,78,73,94,0,0,0,0,0,7,38,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
89,96,76,71,94,23,23,0,0,5,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,93,76,71,94,0,0,0,1,4,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,186,89,72,94,0,0,0,0,24,38,15,62,18,41,0,0,0,0,0,0,1,0,0,0,0,0
96,77,76,73,95,4,53,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
119,94,76,71,94,0,71,8,0,4,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,123,76,71,94,0,0,0,2,12,40,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,84,138,71,94,55,24,0,0,0,0,0,0,0,0,0,30,27,0,0,0,0,0,0,0,0,0
77,78,81,71,94,0,0,0,6,61,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1
78,77,76,74,94,40,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
56,77,79,76,94,0,46,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1
21,87,87,71,94,1,1,1,3,2,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,1
76,117,76,71,95,0,9,37,3,0,0,15,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,106,76,71,94,10,33,23,0,0,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,87,77,71,94,0,0,1,2,21,35,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
61,149,77,71,94,0,17,4,0,0,1,60,0,42,2,0,0,0,0,0,0,0,0,0,0,0,0
74,77,76,74,95,0,0,37,26,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
102,91,77,71,94,0,0,0,0,55,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
66,77,76,71,94,39,15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,77,76,71,94,0,0,3,39,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,162,102,71,94,0,0,0,1,1,0,0,7,37,51,10,4,0,0,0,0,0,0,0,0,0,0
24,117,76,71,94,0,0,2,0,0,0,0,38,13,0,0,0,0,0,0,0,0,0,0,0,0,0
52,80,78,168,94,0,0,0,0,30,15,0,0,0,0,0,0,0,0,0,4,62,0,0,0,0,0
116,96,76,71,94,0,0,12,52,5,43,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,125,80,71,94,3,0,0,0,30,32,0,0,32,12,0,0,0,0,0,0,0,0,0,0,0,0
75,77,76,71,94,19,44,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,82,76,71,94,0,0,7,2,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,82,76,71,94,3,21,34,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,126,76,71,94,2,1,0,0,0,2,69,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,78,78,71,94,0,41,101,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
47,138,76,71,94,0,0,0,1,0,6,39,43,9,0,0,0,0,0,0,0,0,0,0,0,0,0
44,77,76,71,94,0,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,84,76,71,94,2,4,0,1,32,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,116,76,71,94,0,0,2,15,32,0,72,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,78,71,94,3,25,39,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
56,77,82,71,94,0,0,41,5,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1
112,97,76,71,94,0,0,43,6,0,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,77,76,71,94,1,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,77,79,72,94,0,0,6,56,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
15,119,78,71,94,0,0,1,1,0,0,0,0,40,4,0,0,0,0,0,0,0,0,0,0,0,0
76,83,76,71,94,0,0,19,44,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,77,76,71,94,1,65,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,151,83,71,94,0,3,0,0,0,1,44,0,37,22,0,0,0,0,0,0,0,0,0,0,0,0
59,107,122,71,94,0,0,2,1,24,30,0,0,0,0,34,26,0,0,0,0,0,0,0,0,0,0
15,77,105,195,94,0,0,1,1,0,0,0,0,0,0,0,0,0,0,24,44,39,0,0,0,0,0
117,82,76,71,94,0,31,31,46,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,81,77,71,94,0,31,31,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
93,77,76,71,94,1,2,4,48,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,77,76,71,94,0,33,81,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,77,76,77,94,0,28,21,6,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1
61,109,91,71,94,0,5,41,3,0,2,1,0,0,40,3,0,0,0,0,0,0,0,0,0,0,1
47,88,76,75,97,0,0,0,3,0,44,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1
109,82,76,71,94,0,0,0,50,36,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,80,76,71,94,2,1,0,0,38,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,77,77,74,94,2,1,12,37,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
57,110,77,76,94,2,0,0,0,1,18,59,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
56,121,93,84,158,0,42,5,0,0,0,0,0,6,53,0,0,0,0,0,0,0,0,0,34,7,0
57,88,76,71,94,0,0,3,2,7,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,139,76,71,94,0,0,0,2,1,21,40,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0
16,120,85,71,94,0,0,1,2,0,0,0,0,22,29,0,0,0,0,0,0,0,0,0,0,0,0
74,77,76,71,94,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,140,89,71,94,0,23,23,0,0,0,0,0,35,39,0,0,0,0,0,0,0,0,0,0,0,0
45,127,102,71,94,0,0,0,1,1,6,55,0,0,5,38,0,0,0,0,0,0,0,0,0,0,0
18,77,108,134,94,0,0,0,2,3,0,0,0,0,0,0,0,0,0,33,35,0,0,0,0,0,0
94,97,76,74,94,0,0,0,0,59,13,35,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1
84,97,76,71,94,0,0,2,3,13,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,77,76,71,94,0,37,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,80,76,71,94,0,0,0,19,95,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,82,76,71,94,1,1,0,4,41,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,88,77,71,94,0,0,0,4,20,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
65,77,76,71,94,37,9,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,152,116,77,94,0,0,0,0,0,0,0,51,9,1,58,0,0,0,2,3,0,0,0,0,0,0
31,145,76,71,94,7,2,0,1,4,0,0,22,53,0,0,0,0,0,0,0,0,0,0,0,0,0
61,77,76,71,94,5,43,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,80,76,71,94,24,23,3,1,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,92,76,71,94,0,3,6,0,0,45,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,77,76,71,94,0,53,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,137,76,71,94,0,0,0,0,0,27,19,19,32,0,0,0,0,0,0,0,0,0,0,0,0,0
59,118,98,71,94,0,0,26,23,0,0,0,0,0,50,9,0,0,0,0,0,0,0,0,0,0,0
112,113,76,71,95,19,46,0,0,0,8,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
117,79,76,71,94,0,59,49,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,95,76,71,94,2,1,43,11,0,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,98,76,71,94,0,0,0,0,24,54,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1
80,83,76,71,94,56,9,5,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1
60,78,76,71,94,5,42,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,77,76,71,94,0,56,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,84,149,71,94,0,0,0,3,0,0,0,0,0,0,5,19,41,0,0,0,0,0,0,0,0,0
49,100,76,71,103,1,0,0,0,0,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
97,78,76,71,94,8,72,1,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,94,76,71,94,23,23,2,1,0,51,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,110,134,71,94,0,0,0,0,1,2,45,0,0,0,0,43,14,0,0,0,0,0,0,0,0,0
35,143,96,71,94,0,1,2,0,0,0,35,10,0,54,4,0,0,0,0,0,0,0,0,0,0,0
77,77,76,75,99,9,56,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1
65,77,76,71,94,0,0,23,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,79,77,75,103,0,0,0,62,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,2,3,1
82,77,76,72,94,7,2,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
133,77,76,72,94,2,1,0,97,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,96,76,71,94,1,2,35,20,0,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,87,78,71,94,0,0,0,25,62,37,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
29,121,76,81,99,0,0,0,0,3,0,0,58,2,0,0,0,0,0,0,0,1,7,2,0,0,0
99,92,76,71,94,0,0,0,37,25,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,115,76,71,94,0,3,0,0,0,57,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,137,76,71,94,0,62,0,31,47,1,0,58,18,0,0,0,0,0,0,0,0,0,0,0,0,0
