age,number_of_juvenile_fellonies,decile_score,number_of_juvenile_misdemeanors,number_of_other_juvenile_offenses,number_of_prior_offenses,days_before_screening_arrest,days_in_custody,violence_decile_score,label
59,0,9,0,0,14,178,110,4,1
43,0,1,0,0,1,-30,1,1,0
34,0,5,0,0,0,0,69,5,0
37,0,2,0,0,3,0,7,1,0
31,0,7,0,0,1,-1,1,8,0
30,0,2,0,0,1,-1,8,2,0
31,0,10,0,0,13,-1,471,7,1
56,0,9,0,0,8,67,80,3,0
52,0,9,0,0,3,-2,1,6,0
64,0,1,0,0,2,-47,0,1,0
42,0,3,0,0,6,-4,86,1,0
25,0,4,0,0,2,-1,21,5,0
30,0,2,0,0,1,-20,4,2,0
37,0,2,0,0,2,-1,2,1,0
24,0,2,0,0,0,-1,2,3,0
30,0,5,0,0,4,-35,241,5,1
31,0,2,0,0,1,-1,1,3,0
20,1,10,0,0,1,0,9,10,0
43,0,1,0,0,0,0,1,1,0
32,0,6,0,0,11,-2,36,5,1
33,0,5,0,0,8,-1,0,2,1
20,0,6,0,0,0,0,0,8,0
26,0,6,0,0,0,-2,1,3,0
63,0,1,0,0,1,-26,15,1,0
32,0,10,0,0,4,-7,118,9,1
29,0,4,0,0,1,-1,1,4,0
55,0,1,0,0,3,-51,1,1,0
39,1,4,0,0,1,-1,4,4,0
30,0,7,0,0,1,0,3,8,0
48,0,2,0,0,2,-1,1,1,0
22,0,2,0,0,1,-1,188,4,0
49,0,6,0,0,6,-56,5,2,0
31,0,5,0,0,0,0,50,4,0
23,0,3,0,0,0,-1,0,5,0
32,0,7,0,0,5,-1,1,3,0
52,0,1,0,0,2,-1,35,1,0
62,0,4,0,0,8,0,16,1,0
37,0,10,0,0,6,-110,188,4,0
55,0,1,0,0,1,-45,18,1,0
28,0,6,0,0,6,-1,16,6,1
54,0,1,0,0,2,-1,188,1,0
58,0,2,0,0,0,-1,77,1,0
56,0,1,0,0,0,-1,1,1,0
24,0,2,0,0,0,-1,2,4,0
57,0,1,0,0,1,0,20,1,0
66,0,1,0,0,3,-10,2,1,0
37,0,9,0,0,2,0,32,8,1
45,0,3,0,0,2,-1,359,4,0
23,0,3,0,0,0,-1,193,4,1
34,0,2,0,0,2,0,23,1,0
23,0,4,0,0,1,-1,1,4,0
50,0,1,0,0,1,-4,1,1,0
37,0,3,0,0,0,-1,0,1,0
44,0,4,0,0,4,0,1,4,0
27,0,2,0,0,0,-1,3,3,0
28,0,8,0,0,0,0,29,6,0
43,0,5,0,0,11,49,384,3,1
38,0,1,0,0,2,-1,0,1,0
27,0,4,0,0,2,-36,36,3,0
28,0,9,0,0,1,-1,79,7,0
38,0,9,0,0,15,-1,2,3,0
28,0,5,0,0,2,-1,1,4,0
45,0,6,0,0,3,104,219,4,0
61,0,1,0,0,1,-34,1,1,0
51,0,1,0,0,0,-1,67,1,1
51,0,2,0,0,0,-1,1,2,0
48,0,1,0,0,0,-1,1,1,0
30,0,7,0,0,2,-1,3,4,0
41,0,6,0,0,5,0,0,3,0
37,0,1,0,0,0,-1,13,1,0
54,0,9,0,0,11,-1,130,9,0
23,0,9,0,0,2,-1,72,5,0
41,0,1,0,0,0,0,1,1,0
52,0,1,0,0,0,-1,1,1,0
52,0,4,0,0,0,-1,14,3,0
28,0,1,0,0,1,-3,3,2,0
30,0,9,0,2,11,-1,6,4,1
28,0,5,0,0,1,0,6,3,0
22,0,4,0,0,0,-1,1,6,0
30,0,2,0,0,4,0,0,2,0
25,0,4,0,0,4,0,1,4,0
32,0,9,1,0,14,-1,1,8,0
26,0,8,1,0,4,649,76,6,0
53,0,1,0,0,1,-1,1,1,0
25,0,3,0,0,0,0,0,4,0
37,0,1,0,0,0,-1,1,1,0
40,0,2,0,0,3,-1,1,1,0
36,0,7,0,0,8,150,22,9,1
30,0,2,0,0,4,-140,62,2,0
22,0,9,0,0,3,161,16,9,1
24,0,7,0,0,1,-32,1,5,1
31,0,2,0,0,0,-1,1,2,0
24,0,8,0,0,0,-3,1,7,0
29,0,3,0,0,1,-1,1,3,0
20,0,8,0,0,1,-1,121,7,1
39,0,1,0,0,0,-1,1,1,0
27,0,4,0,0,4,-1,13,4,0
31,0,4,0,0,2,812,11,3,0
37,0,1,0,0,2,0,14,1,0
20,0,8,0,0,0,-1,3,6,0
22,0,7,0,1,0,0,7,6,0
52,0,1,0,0,0,-1,1,1,0
48,0,2,0,0,0,-1,2,3,0
25,0,5,0,0,0,0,5,4,0
27,0,6,0,0,0,-1,242,7,1
22,0,3,0,0,1,-1,1,4,0
35,0,10,0,0,2,-1,261,8,0
32,0,4,0,0,2,-232,40,4,0
41,0,3,0,0,2,-1,1,1,0
25,0,2,0,0,0,-1,1,3,0
44,0,7,0,0,24,53,118,3,0
43,0,1,0,0,0,-1,41,1,0
37,0,1,0,0,3,-4,3,1,0
28,0,4,0,0,3,299,3,3,1
70,0,1,0,0,1,-13,13,1,0
46,0,4,0,0,3,-1,14,2,0
26,0,8,0,0,1,-1,11,6,1
34,0,4,0,0,5,-1,1,4,0
34,0,4,0,0,5,-1,1,4,0
30,0,1,0,0,2,-83,83,2,0
24,0,3,0,0,0,-1,1,5,0
33,0,3,0,0,1,-93,1,2,1
58,0,3,0,0,2,-1,2,1,0
21,0,6,0,0,0,0,1,7,0
21,0,5,0,0,1,-36,11,7,0
62,0,1,0,0,0,0,1,1,0
37,0,3,0,0,5,-1,11,1,0
32,0,1,0,0,5,0,0,1,0
23,0,3,0,0,0,-1,14,5,0
27,0,1,0,0,0,0,1,2,0
42,0,2,0,0,0,-3,19,1,0
24,0,10,1,0,9,-1,5,10,1
27,0,2,0,0,0,0,17,3,0
51,0,1,0,0,0,0,1,1,0
56,0,1,0,0,0,0,1,1,0
29,0,9,0,0,7,-1,1,6,0
53,0,1,0,0,6,-176,174,1,0
27,0,5,0,0,8,-1,239,3,0
24,0,9,1,0,2,-1,53,9,1
28,0,3,0,0,2,0,1,4,1
21,0,5,1,0,3,-22,24,6,0
36,0,7,0,0,0,-1,12,5,0
23,0,3,0,0,1,0,10,4,0
28,0,5,0,0,1,-4,1,3,0
36,0,3,0,0,0,-1,1,3,0
24,0,3,0,0,0,-1,1,4,0
29,0,1,0,0,0,-1,1,2,0
30,0,6,0,0,0,0,4,2,0
51,0,1,0,0,1,-1,1,1,0
33,0,1,0,0,3,-94,3,1,0
25,0,6,0,0,2,-86,27,5,0
32,0,9,1,0,12,-1,2,7,1
23,0,6,0,1,1,0,1,5,0
47,0,3,0,0,3,0,1,2,0
37,0,1,0,0,0,-1,2,1,0
27,0,8,0,0,0,-1,2,6,0
39,0,1,0,0,0,-1,1,1,0
21,0,6,0,2,0,0,0,8,0
69,0,1,0,0,0,-1,1,1,0
21,0,6,0,0,2,-1,3,6,0
22,0,4,0,0,0,-2,0,5,0
49,0,5,0,0,3,0,5,4,0
29,0,4,0,1,2,-1,1,3,0
60,0,1,0,0,0,-1,1,1,0
26,0,10,0,0,0,-1,161,10,0
34,0,5,0,0,2,47,208,2,1
20,1,4,0,0,1,-21,89,7,0
36,0,3,0,0,1,0,0,2,0
30,0,4,0,0,0,0,2,3,0
21,0,3,1,0,1,-1,0,6,0
57,0,8,0,0,18,-1,453,7,0
34,0,1,0,0,1,0,0,1,0
53,0,1,0,0,1,-1,1,1,0
24,0,4,0,0,0,-1,1,4,0
42,0,1,0,0,1,-12,4,1,0
28,0,3,0,0,1,-1,2,3,0
24,0,4,0,0,1,-36,36,4,0
22,0,9,0,0,4,-1,198,9,1
21,0,7,0,0,3,-8,6,8,0
35,0,5,0,0,2,-1,5,5,0
53,0,1,0,0,2,-1,1,1,0
60,0,1,0,0,1,-1,153,1,0
29,0,4,0,0,7,-1,4,3,0
48,1,8,0,0,23,-1,280,5,1
52,0,1,0,0,0,0,0,1,0
28,0,9,0,0,5,0,15,6,0
33,0,3,0,0,3,0,0,1,0
28,0,2,0,0,0,-1,2,2,0
29,1,5,0,0,2,-1,2,5,0
26,0,7,0,2,6,-34,48,7,0
25,0,2,0,0,0,0,0,3,0
68,0,1,0,0,2,-150,1,1,0
56,0,3,0,0,5,-1,143,3,0
27,0,8,0,0,9,-1,43,8,1
32,0,2,0,0,3,0,4,2,0
60,0,1,0,0,4,-1,1,1,0
23,0,3,0,0,1,-5,5,4,0
39,0,6,0,0,0,-2,1,2,0
56,0,1,0,0,0,-1,1,1,0
22,0,7,0,0,0,0,0,8,0
53,0,6,0,0,11,-1,110,3,0
21,0,3,0,0,0,0,0,6,0
22,0,3,0,0,0,-1,2,5,0
58,0,1,0,0,2,-23,17,1,0
42,0,1,0,0,1,-1,2,1,0
29,0,6,0,0,0,0,5,4,1
29,0,10,0,0,8,178,88,9,0
22,0,7,0,0,3,-1,6,6,0
37,0,4,0,0,0,0,0,3,0
27,0,1,0,0,3,-22,0,1,0
26,0,4,0,0,3,0,1,3,0
33,0,1,0,0,0,-1,1,2,0
29,0,6,0,0,2,-1,1,3,0
36,0,1,0,0,2,-1,1,1,0
24,0,5,0,0,0,0,0,5,0
34,0,1,0,0,0,0,0,1,0
25,0,5,0,0,2,-1,2,3,1
28,0,5,0,0,2,-263,14,3,1
24,0,2,0,0,1,-1,1,4,1
61,0,1,0,0,4,-1,2,1,0
50,0,2,0,0,3,0,0,1,0
30,0,1,0,0,1,0,4,2,0
38,0,3,0,0,5,-1,1,2,0
24,0,1,0,0,0,-1,1,2,0
45,0,2,0,0,16,-83,65,1,0
20,0,8,0,1,0,-1,24,6,1
27,0,8,0,0,13,-1,0,9,1
51,0,8,0,0,16,-122,66,1,0
28,0,4,0,0,1,0,22,3,1
26,1,9,1,0,10,-1,0,6,1
28,0,10,0,0,5,-1,1,10,0
63,0,1,0,0,2,-3,5,1,0
42,0,1,0,0,0,0,1,1,0
23,1,6,2,2,6,-1,22,6,0
54,0,1,0,0,2,-26,1,1,0
35,0,2,0,0,1,-1,1,2,0
20,0,10,0,0,1,0,1,10,1
51,0,1,0,0,0,0,35,1,0
24,0,10,0,0,0,0,1,7,0
37,0,2,0,0,3,-14,7,1,0
47,0,1,0,0,3,-1,1,1,0
56,0,1,0,0,0,-2,1,1,0
35,0,6,0,0,0,-1,101,4,0
58,0,1,0,0,1,-11,10,1,0
29,0,4,0,0,2,-26,1,2,0
24,0,9,0,1,6,0,1,4,1
21,0,9,0,4,2,-1,9,9,1
26,0,2,0,0,1,-1,1,3,0
30,0,2,0,0,0,-1,1,2,0
29,0,4,0,0,0,0,9,4,1
54,0,1,0,0,0,-1,1,1,0
29,0,4,0,0,4,-1,8,4,1
59,0,1,0,0,0,-2,1,1,0
38,0,5,0,0,0,0,1,1,0
29,0,7,0,0,4,-53,77,6,1
52,0,3,0,0,20,-1,3,1,0
27,0,5,0,0,2,0,0,4,0
51,0,1,0,0,1,-1,0,1,0
35,0,2,0,0,1,0,74,3,0
52,0,3,0,0,4,-1,1,2,0
35,0,2,0,0,12,-54,0,1,0
48,0,5,0,0,12,0,1,4,0
26,0,2,0,0,0,-1,1,2,0
48,0,1,0,0,0,0,1,1,0
30,0,4,0,0,7,-1,38,5,0
28,0,1,0,0,2,-1,2,2,0
33,0,3,0,0,2,0,1,3,0
34,0,4,0,0,6,-1,1,2,0
25,0,1,0,0,0,0,0,2,0
24,0,2,0,0,0,0,6,3,0
55,0,8,0,0,0,61,45,4,1
52,0,5,0,0,4,0,1,3,0
24,0,2,0,0,0,-1,15,3,0
23,0,9,0,0,0,-1,1434,6,0
27,0,4,1,3,6,-1,1,3,0
31,0,2,0,0,0,-1,0,1,0
32,0,1,0,0,1,-7,1,2,1
37,0,1,0,0,1,-1,5,1,0
25,0,3,0,0,0,0,15,4,0
32,1,10,1,0,20,0,1,7,0
35,0,7,0,0,0,-1,2,2,0
24,0,10,0,1,9,-23,355,8,1
47,0,1,0,0,1,0,0,1,0
44,0,3,0,0,1,0,0,1,0
23,0,2,0,0,2,-1,1,3,0
42,0,5,0,0,8,-1,2,2,0
58,0,6,0,0,6,-1,58,3,0
26,0,6,0,1,3,-1,101,4,0
48,0,1,0,0,0,-1,17,1,0
21,0,5,2,0,3,0,41,6,1
63,0,1,0,0,1,-9,6,1,0
22,0,7,1,0,3,-11,8,7,1
50,0,3,0,0,3,-1,1,2,0
38,0,1,0,0,0,-1,10,1,0
41,0,6,0,0,1,-6,5,4,0
28,8,8,0,1,16,-1,25,9,1
30,0,3,0,0,0,0,1,3,0
23,0,5,0,0,1,0,36,7,0
40,0,4,0,0,5,0,9,1,0
24,0,8,0,0,8,0,0,4,0
44,0,3,0,0,11,0,180,6,0
35,0,2,0,0,6,-1,48,1,1
42,0,1,0,0,0,0,0,1,0
38,0,7,0,0,15,0,0,5,0
26,0,6,0,0,4,0,0,6,0
25,0,3,0,0,0,-1,1,3,0
64,0,1,0,0,1,-8,8,1,0
46,0,1,0,0,0,-1,1,1,0
30,0,6,0,1,5,-1,1,6,1
22,0,3,0,0,0,0,0,4,0
23,0,4,0,0,1,-1,1,6,0
31,0,1,0,0,0,-1,1,2,0
31,0,2,0,0,1,-1,1,2,0
28,0,8,0,0,4,747,52,7,0
25,0,3,0,0,0,-1,3,4,0
21,0,7,0,0,0,-1,2,5,0
27,0,2,0,0,0,-1,1,3,0
32,0,1,0,0,1,-27,0,1,0
24,0,5,0,1,0,0,1,5,0
20,1,3,0,0,1,-1,1,6,0
27,0,7,0,0,3,-1,1,8,1
40,0,2,0,0,0,-1,1,1,0
22,0,10,0,0,11,0,1,8,1
38,0,1,0,0,1,-1,1,1,0
30,0,7,0,0,1,0,10,4,0
27,0,6,0,0,6,-1,1,4,1
59,0,1,0,0,0,0,0,1,0
37,0,1,0,0,2,-2,1,1,0
38,0,1,0,0,0,0,0,1,0
43,0,1,0,0,1,-44,41,1,0
25,0,5,0,0,4,-1,32,4,1
51,0,1,0,0,0,0,0,1,0
30,0,5,0,0,6,-1,1842,3,1
28,0,3,0,0,10,0,8,2,0
23,0,10,0,0,3,-1,53,9,0
22,0,5,0,0,0,-1,8,6,0
31,0,1,0,0,1,-27,0,1,0
29,0,1,0,0,0,0,1,1,0
24,0,10,0,0,4,-175,3,9,1
31,0,2,0,0,0,0,5,2,0
27,0,9,0,0,5,0,1,7,0
25,0,5,0,0,1,-1,1,3,0
38,0,1,0,0,0,-1,2,1,0
22,0,9,0,0,0,-1,16,7,0
58,0,2,0,0,4,-14,2,1,1
21,0,3,0,1,0,-1,1,5,0
22,0,8,0,0,0,-1,1,6,0
30,0,2,0,0,0,-1,3,2,0
22,0,4,0,0,2,-40,80,6,1
31,0,6,0,0,10,-1,1,2,0
45,0,6,0,0,1,0,1,4,0
23,0,7,0,0,4,320,90,9,0
27,0,7,0,0,13,-1,173,3,1
38,0,1,0,0,1,-1,2,1,1
47,0,9,0,0,20,-1,2,5,0
22,0,7,1,0,3,-1,1,7,0
35,0,9,0,1,1,-1,75,3,1
65,0,2,0,0,2,-18,40,1,1
35,0,4,0,0,0,-1,1,3,0
33,0,3,0,0,0,-1,160,2,0
53,0,1,0,0,1,-10,1,1,0
52,0,1,0,0,0,-1,2,1,0
21,0,5,0,0,0,-1,14,7,0
37,0,4,0,0,11,-1,12,2,0
30,0,9,0,0,4,-1,7,8,1
33,0,5,0,0,5,-32,22,2,0
54,0,1,0,0,0,0,0,1,0
31,0,1,0,0,0,0,0,1,0
59,0,3,0,0,2,26,29,1,0
27,0,2,0,0,0,-1,1,2,0
36,0,7,0,0,0,-1,1,2,1
22,0,9,0,1,3,0,323,8,0
28,0,2,0,0,0,-1,1,2,0
23,0,10,0,1,2,0,22,9,1
27,0,4,0,0,3,-1,1,3,0
21,0,6,0,1,0,-1,39,6,1
32,0,2,0,0,2,-43,0,1,0
31,0,7,0,0,5,-1,6,4,0
36,0,5,1,0,4,-1,2,2,0
53,0,1,0,0,2,-2,1,1,0
21,1,10,0,0,2,-306,294,9,0
33,0,8,0,0,4,236,1653,6,1
28,0,4,0,0,2,-1,6,2,0
24,0,6,0,0,1,-1,1,4,0
44,0,1,0,0,1,-1,1,1,0
46,0,1,0,0,0,-1,1,1,0
37,0,3,0,0,6,0,1,5,0
27,0,8,1,0,10,0,2,7,1
40,0,2,0,0,1,-1,2,1,0
53,0,1,0,0,1,-6,6,1,0
26,0,6,1,0,8,-52,5,6,0
28,0,1,0,0,0,-1,1,3,0
23,0,4,0,0,0,0,0,5,0
46,0,8,0,0,2,-1,99,1,0
45,0,1,0,0,0,-1,2,1,0
22,0,5,0,0,1,-1,20,7,0
26,0,2,0,0,1,0,19,3,1
62,0,1,0,0,0,-1,3,1,0
24,0,10,0,0,1,-6,4,5,0
21,0,2,0,0,0,-1,1,5,0
25,0,2,0,0,0,-1,1,3,1
68,0,1,0,0,0,-1,3,1,0
41,0,2,0,0,2,-47,0,2,0
21,0,3,0,0,1,-1,1,6,0
37,0,3,0,0,1,-1,2,1,0
22,0,8,0,0,0,0,0,5,0
42,0,1,0,0,1,-1,1,1,0
48,0,6,0,0,2,0,1,1,0
45,0,1,0,0,1,-106,8,1,0
23,0,9,0,1,6,-1,8,8,1
24,0,8,0,0,0,0,1,7,0
29,0,2,0,0,0,-1,0,3,0
24,0,3,0,0,0,-3,1,4,0
50,0,9,0,0,11,0,2,6,0
23,0,2,0,0,0,0,0,4,0
22,0,5,0,0,0,-1,2,6,0
36,0,1,0,0,0,-1,7,1,0
53,0,1,0,0,0,0,4,1,0
24,0,3,0,0,1,-37,20,3,0
25,0,9,0,0,1,0,0,5,0
71,0,1,0,0,8,-1,25,2,0
39,0,9,4,0,10,-1,37,3,0
37,0,5,0,0,0,0,37,3,0
29,0,5,0,0,3,-1,1,4,0
23,0,10,0,0,0,-1,1,10,0
23,0,2,0,0,0,-1,1,3,0
27,0,7,0,0,3,0,1,4,0
53,0,1,0,0,0,0,0,1,0
23,0,7,0,0,0,-1,1,7,0
25,0,6,0,0,6,-1,0,5,0
23,0,4,0,0,2,-1,13,6,0
27,0,9,0,0,4,0,0,7,1
26,0,3,0,0,2,-106,0,4,0
29,0,4,0,0,1,-1,4,3,0
28,0,2,0,0,0,-1,1,2,0
31,0,2,0,0,0,-1,1,1,0
25,0,2,0,0,0,-2,0,3,0
47,0,1,0,0,0,-1,0,1,0
37,0,2,0,0,4,-1,1,1,0
35,0,5,0,0,4,-1,2,3,0
21,0,9,2,1,2,-1,6,8,1
57,0,6,0,0,11,-1,140,5,0
48,0,7,0,0,0,-1,11,4,0
36,0,1,0,0,0,-1,5,1,0
37,0,7,0,0,3,-1,28,4,0
31,0,1,0,0,0,0,5,2,0
31,0,3,0,0,2,0,0,2,0
32,0,9,0,1,22,0,58,10,1
23,0,4,0,0,0,-1,1,5,0
63,0,1,0,0,0,-1,1,1,0
30,0,1,0,0,0,-1,1,2,0
26,0,5,0,0,2,-38,1366,4,1
20,0,4,0,2,0,-1,1,7,0
24,0,5,0,0,1,0,1,4,1
36,0,2,0,0,1,-1,1,2,0
83,0,1,0,0,0,0,1,1,0
28,0,6,0,0,2,0,0,6,0
33,0,2,0,0,0,-1,2,2,0
39,0,3,0,0,0,0,0,2,0
29,0,7,0,0,3,0,0,5,0
19,1,6,1,0,1,140,1,8,1
36,0,7,0,0,11,-79,3,6,0
35,0,6,0,0,7,-1,1,2,0
24,0,3,0,1,0,-1,1,3,0
26,0,2,0,0,0,773,9,2,0
26,0,4,0,0,8,-1,2,4,0
52,0,6,0,0,7,-1,994,1,0
28,0,7,0,0,14,-1,50,8,1
32,0,5,0,0,0,-1,1,2,0
32,0,3,0,0,1,-1,1,1,1
29,0,10,1,0,16,-1,1668,7,0
43,0,1,0,0,0,0,0,1,0
47,0,4,0,0,2,-3,0,5,0
23,0,3,0,0,1,-1,2,3,0
39,0,2,0,0,2,-1,1,2,0
33,0,1,0,0,0,-1,17,2,0
21,0,3,0,0,0,-1,1,7,1
43,1,8,0,0,20,0,23,4,0
25,0,8,1,1,3,-1,9,9,1
48,1,10,0,0,25,-1,4,9,1
22,0,7,0,1,1,28,1,9,1
52,1,8,0,0,9,-1,140,2,1
26,0,4,0,0,5,-1,16,3,1
34,0,2,0,0,4,-1,1,2,0
56,0,1,0,0,4,-1,0,1,0
29,0,4,0,0,2,-1,1,5,0
37,0,5,0,0,6,-1,13,2,1
43,0,2,0,0,3,-1,1,2,0
51,0,1,0,0,0,-1,1,1,0
21,0,8,0,1,1,-1,2,7,0
26,0,8,1,0,4,-1,1,9,1
48,0,2,0,0,1,0,34,1,0
26,0,4,0,0,0,0,0,3,0
46,0,1,0,0,0,-1,1,1,0
24,0,9,1,1,7,-1,10,7,0
21,0,5,0,0,0,-1,1,7,0
36,0,8,0,0,9,0,31,2,0
30,0,4,0,0,5,-1,1588,3,1
22,0,6,0,0,1,-23,1,7,0
25,0,9,0,0,0,-1,21,8,1
24,0,4,0,0,0,-1,36,5,0
39,0,8,0,0,13,-1,0,6,1
46,0,1,0,0,0,-1,1,1,0
30,0,3,0,0,4,-5,1,3,0
40,0,2,0,0,0,0,22,1,0
52,0,1,0,0,0,-1,2,1,0
23,1,9,0,1,3,-1,55,10,0
26,0,2,0,0,1,-1,1,2,0
42,0,4,0,0,3,0,7,2,0
28,0,3,0,0,1,-1,2,2,0
50,0,1,0,0,1,-1,1,1,0
32,0,7,0,0,1,-1,1,2,0
51,0,2,0,0,3,-1,1,1,0
32,0,5,0,0,4,0,108,2,0
29,0,5,0,0,1,7,180,4,0
43,0,1,0,0,0,-1,1,1,0
26,0,7,0,0,9,-1,14,7,1
27,0,1,0,0,1,-1,1,2,0
57,0,2,0,0,1,-1,1,1,0
32,0,1,0,0,3,-1,3,2,1
42,0,1,0,0,0,0,0,1,0
26,0,4,0,0,4,-52,2,4,0
28,0,4,0,1,3,-1,45,3,0
53,0,1,0,0,0,-1,1,1,0
24,0,2,0,0,0,-1,1,3,0
28,0,2,0,0,1,-9,9,2,0
28,0,5,0,0,1,-1,1,4,0
25,0,2,0,0,0,0,1,4,0
52,0,5,0,0,1,-5,4,3,0
28,0,2,0,0,4,-1,191,3,1
21,0,9,0,0,2,-1,19,6,1
32,0,10,0,0,19,-1,15,10,1
63,0,9,0,0,3,-1,220,1,0
29,0,3,0,0,2,0,2,3,0
46,0,1,0,0,0,0,1,1,0
23,0,10,0,0,5,-45,33,8,1
27,0,2,0,0,1,-3,7,3,0
69,0,1,0,0,0,0,0,1,0
47,0,1,0,0,0,-1,1,1,0
45,0,3,0,0,1,-1,128,3,0
33,0,1,0,0,1,0,0,1,0
32,0,9,0,0,14,-1,4,6,1
24,0,7,0,0,2,-1,1,5,0
47,0,4,0,0,0,-4,1,1,0
25,0,5,0,0,1,-1,7,3,0
21,0,8,0,0,1,-1,109,7,0
22,1,7,1,0,6,-1,1,5,1
26,0,6,0,0,0,-1,1,6,0
20,0,4,0,0,0,-1,1,6,0
33,0,7,0,0,7,0,79,9,1
35,0,1,0,0,2,-1,1,2,0
41,0,1,0,0,5,-1,1,1,0
23,0,3,0,0,0,0,2,5,0
54,0,1,0,0,0,-1,2,1,0
22,0,3,0,0,0,-4,1,5,0
30,0,1,0,0,1,-9,8,2,0
24,0,6,0,0,2,48,1,3,1
54,0,5,0,0,4,-1,191,4,1
22,0,5,0,0,2,-1,37,6,1
38,0,1,0,0,2,-64,43,1,0
26,0,4,0,0,0,-1,1,3,1
20,0,4,0,0,0,-1,1,6,0
56,0,1,0,0,0,-1,8,1,0
29,0,1,0,0,0,-1,3,2,0
23,0,7,0,0,6,-18,18,5,0
35,0,1,0,0,1,-1,9,1,0
21,0,7,0,0,1,-18,0,6,1
25,0,3,0,0,0,-1,1,6,0
30,0,4,0,0,3,-1,26,4,0
23,0,7,0,0,2,-1,6,6,1
32,1,4,0,0,8,-2,2,4,0
52,0,1,0,0,1,-111,2,1,0
42,0,1,0,0,0,0,0,1,0
22,0,3,0,0,0,-2,1,4,0
45,0,1,0,0,2,-1,47,2,0
29,0,2,0,0,0,-1,1,3,0
54,0,2,0,0,2,-1,127,3,0
30,0,5,0,0,6,-1,51,3,1
51,0,4,0,0,17,0,0,1,0
27,0,3,0,0,3,88,302,2,1
24,0,6,0,0,2,-27,13,5,0
23,0,7,0,0,2,-1,5,6,0
42,0,3,0,0,2,496,14,2,0
36,0,4,0,0,5,-1,1,2,0
38,0,7,1,0,8,-1,867,4,1
69,0,1,0,0,0,-1,1,1,0
59,0,1,0,0,1,-1,1,1,0
39,0,6,0,0,1,-9,5,1,0
29,0,6,0,0,2,-1,38,3,0
44,0,3,0,0,6,0,0,1,0
25,0,5,0,0,2,-1,58,6,0
31,0,10,0,0,0,0,0,10,0
35,0,7,1,0,17,-1,33,2,1
33,0,5,0,0,1,0,2,4,0
20,1,10,0,1,1,-51,2,10,1
60,0,1,0,0,1,-1,1,1,0
53,0,1,0,0,0,0,1,1,0
25,0,2,0,0,1,-106,32,3,0
27,2,7,1,0,5,76,64,8,1
54,0,1,0,0,0,-1,1,1,0
26,0,5,0,1,3,-305,1,5,0
24,1,4,2,0,3,-1,2,5,0
26,0,3,0,0,0,-1,26,3,0
